firstname	1_year	1_count	2_year	2_count
aadel		53		
aadil	1992	168		
aakash		24		
aaliya				140
aaliyah			2015	1598
aalya			2010	85
aalyah			2014	173
aanor				37
aaricia				35
aaron	2015	17378		
aarone		120		
aaronn		54		
aaroun		24		
aaya				41
aayan	2012	43		
aaziz		31		
ab	1959	81		
ab-del	1961	47		
ababacar		52		
abas		41		
abass	2013	89		
abasse		100		
abassia				25
abbas	1962	217		
abbes	1972	293		
abbie			2015	89
abbigaelle				31
abby			2015	1164
abby-gaelle				111
abby-galle				58
abbygael				109
abbygaelle			2014	361
abbygail				78
abbygal				68
abbygalle			2015	209
abd	2015	1389		
abd'allah		40		
abd-allah	2015	130		
abd-el	1971	488		
abd-el-kader		43		
abd-rahman		29		
abd-samad		21		
abdala		74		
abdalah	1973	211		
abdalaye		34		
abdalha		29		
abdalla		77		
abdallah	2015	4756		
abdarahim		21		
abdarahman		28		
abdarahmane		28		
abdarrahman	2015	29		
abdassamad		25		
abde	1983	170		
abdel	2015	4339		
abdel-akim		83		
abdel-ali		101		
abdel-aziz	1982	227		
abdel-djalil		39		
abdel-ghani		52		
abdel-hadi		37		
abdel-hafid		100		
abdel-hak		28		
abdel-hakim	2013	420		
abdel-halim	2012	163		
abdel-hamid		207		
abdel-ilah		84		
abdel-illah		70		
abdel-jalil	2012	92		
abdel-kader	2013	427		
abdel-karim	2013	426		
abdel-krim	1961	133		
abdel-latif		42		
abdel-madjid		86		
abdel-magid		20		
abdel-majid		108		
abdel-malek	2011	195		
abdel-malik	2015	409		
abdel-moumen		22		
abdel-nacer		35		
abdel-nasser	1956	80		
abdel-nour		71		
abdel-rahim	2013	81		
abdel-rahman	2015	133		
abdel-rahmane	2015	76		
abdel-rahmen		29		
abdel-rani		49		
abdel-raouf		41		
abdel-salem		30		
abdel-samad		75		
abdel-wahab		50		
abdel-waheb		28		
abdel-wahid		36		
abdela		72		
abdelaali		36		
abdeladim		23		
abdelafid		34		
abdelah	1965	213		
abdelakim	1975	120		
abdelali	1984	452		
abdelalim		24		
abdelamid		26		
abdelatif	1990	457		
abdelaziz	2015	2188		
abdelazize		120		
abdelazziz	1972	45		
abdelbaki		73		
abdelbaset		22		
abdelbasset		84		
abdeldjalil	2006	115		
abdeldjallil		22		
abdelfatah		112		
abdelfattah		63		
abdelfetah		38		
abdelfettah		24		
abdelghafour		36		
abdelghani	1992	522		
abdelha		38		
abdelhadi	1992	352		
abdelhafed		25		
abdelhafid	2006	752		
abdelhafide		30		
abdelhak	2007	881		
abdelhake		39		
abdelhakim	2014	1459		
abdelhakime		42		
abdelhali		45		
abdelhalim	2007	614		
abdelhalime		40		
abdelhamed		53		
abdelhamid	2014	1052		
abdelhamide		21		
abdelhaq		26		
abdelhatif		42		
abdelhay		27		
abdelhaziz		92		
abdelhedi		20		
abdelhouab		39		
abdelilah	2006	355		
abdelillah	2013	147		
abdeljabar		29		
abdeljalil	2015	432		
abdeljalile		20		
abdeljallil		24		
abdeljawad		20		
abdelkader	2015	9805		
abdelkamel		23		
abdelkarim	2015	1413		
abdelkarime		34		
abdelkebir		23		
abdelkerim		27		
abdelkhader		46		
abdelkhalek		63		
abdelkrim	2014	2396		
abdelkrime		80		
abdella	1956	96		
abdellah	2015	2478		
abdellali		54		
abdellatif	1990	596		
abdellaziz	1973	148		
abdelmadjid	2009	326		
abdelmagid	1968	90		
abdelmagide		20		
abdelmajid	2014	790		
abdelmajide		24		
abdelmalek	2014	816		
abdelmalik	2015	847		
abdelmoula		37		
abdelmoumen		93		
abdelmoumene		40		
abdelmounaim		45		
abdelnacer	1974	89		
abdelnasser	1971	156		
abdelnor		76		
abdelnour	2010	228		
abdeloihab		31		
abdelouab		44		
abdelouahab	1972	219		
abdelouahad		27		
abdelouaheb		47		
abdelouahed		98		
abdelouahid		52		
abdelouhab	1965	97		
abdelrahim	2011	277		
abdelrahman	2015	366		
abdelrahmane	2014	352		
abdelrahmen		67		
abdelrahmene		21		
abdelrahni		22		
abdelraman		21		
abdelramane		37		
abdelrani	2010	290		
abdelraouf		83		
abdelrazak		92		
abdelrazek		39		
abdelrezak		59		
abdelrhamane		23		
abdelrhani		41		
abdelsalam		35		
abdelsalem		68		
abdelsamad	2003	134		
abdelslam		21		
abdelssamad		30		
abdeltif		120		
abdelwadoud		39		
abdelwahab	2014	290		
abdelwahad		30		
abdelwaheb		68		
abdelwahed		51		
abdelwahid		107		
abdelwakil		53		
abdenabi		36		
abdenacer		31		
abdenasser		78		
abdenbi	1983	130		
abdennasser		24		
abdennour	2010	197		
abdenor	1978	112		
abdenour	2015	382		
abder		20		
abderahim	2015	309		
abderahime		38		
abderahman	2015	393		
abderahmane	2015	631		
abderahmen		62		
abderahmene		28		
abderaman		38		
abderamane		53		
abderaouf		37		
abderazak		125		
abderemane	2007	32		
abderezak		58		
abderhaman		35		
abderhamane	1972	118		
abderrahim	2015	670		
abderrahime		45		
abderrahman	2015	597		
abderrahmane	2015	1543		
abderrahmen		88		
abderrahmene		26		
abderramane		31		
abderraouf		54		
abderrazak	1970	229		
abderrezak	1987	62		
abderrhamane		61		
abderzak		34		
abdesalam		21		
abdesalem		28		
abdesamad		80		
abdesamade		20		
abdeslam	1985	334		
abdeslame		23		
abdeslem		134		
abdessalam		94		
abdessalem		114		
abdessamad	2015	724		
abdessamade		56		
abdessamed		50		
abdessatar		23		
abdesselam		74		
abdesselem	1963	74		
abdesslam		90		
abdesslem		37		
abdi		46		
abdias	2010	44		
abdil		39		
abdillah	2001	77		
abdlaziz		23		
abdnour		31		
abdo		22		
abdollah		39		
abdon	1971	765	1959	101
abdonie			1922	22
abdonise			1944	30
abdool		27		
abdou	2015	898		
abdou-aziz		25		
abdou-karim		37		
abdou-rahman		24		
abdou-rahmane		20		
abdouallah		25		
abdoukarim		24		
